,milk,petfood,veggies,cereal,nuts,rice,meat,eggs,yogurt,chips,cola,fruit
milk,1.0,-0.0031221645591677544,-0.3424768239466372,0.610718974246391,-0.5153910565793592,-0.03366629478774881,0.5489679172523438,0.660370615059424,-0.5221704179965356,-0.06534851742592306,0.04521997207386299,-0.2742242281488218
petfood,-0.0031221645591677544,1.0,-0.002366502419813085,0.021807075677365943,-0.005695340594917055,-0.026666636208445026,0.009370770622945734,-0.003642447498028411,0.022025226025109305,-0.01428450963604654,-0.020788442844150462,-0.02124566735882216
veggies,-0.3424768239466372,-0.002366502419813085,1.0,-0.3099582357467858,-0.06594624317108091,0.6830688335990227,-0.6751474347978775,-0.49428724170347826,0.6675179216419633,-0.5317456987453522,-0.6920594356477195,0.5832420130873119
cereal,0.610718974246391,0.021807075677365943,-0.3099582357467858,1.0,-0.32201705868388064,-0.049374611212578,0.44290863466961417,0.5787683226994712,-0.3389138022562761,0.09273722372526728,0.06885644929831894,-0.22025496707466968
nuts,-0.5153910565793592,-0.005695340594917055,-0.06594624317108091,-0.32201705868388064,1.0,-0.31764240211287587,-0.14442371308540156,-0.38029450702764483,0.08378012402256549,0.19816966714685263,0.24889839732189664,-0.0910044400354174
rice,-0.03366629478774881,-0.026666636208445026,0.6830688335990227,-0.049374611212578,-0.31764240211287587,1.0,-0.5458891612624424,-0.17147880576027605,0.5903798687175426,-0.7265891018440539,-0.8280331472915233,0.6623221492152643
meat,0.5489679172523438,0.009370770622945734,-0.6751474347978775,0.44290863466961417,-0.14442371308540156,-0.5458891612624424,1.0,0.6348959688795153,-0.7049730059237891,0.44646745056418063,0.5557269383408193,-0.646175282920925
eggs,0.660370615059424,-0.003642447498028411,-0.49428724170347826,0.5787683226994712,-0.38029450702764483,-0.17147880576027605,0.6348959688795153,1.0,-0.506635027586465,0.14464328039028027,0.34467970853823426,-0.4746566150525496
yogurt,-0.5221704179965356,0.022025226025109305,0.6675179216419633,-0.3389138022562761,0.08378012402256549,0.5903798687175426,-0.7049730059237891,-0.506635027586465,1.0,-0.43384501741652803,-0.6115003858456943,0.6206349889487589
chips,-0.06534851742592306,-0.01428450963604654,-0.5317456987453522,0.09273722372526728,0.19816966714685263,-0.7265891018440539,0.44646745056418063,0.14464328039028027,-0.43384501741652803,1.0,0.6572093750950794,-0.5562516298840091
cola,0.04521997207386299,-0.020788442844150462,-0.6920594356477195,0.06885644929831894,0.24889839732189664,-0.8280331472915233,0.5557269383408193,0.34467970853823426,-0.6115003858456943,0.6572093750950794,1.0,-0.68513175079014
fruit,-0.2742242281488218,-0.02124566735882216,0.5832420130873119,-0.22025496707466968,-0.0910044400354174,0.6623221492152643,-0.646175282920925,-0.4746566150525496,0.6206349889487589,-0.5562516298840091,-0.68513175079014,1.0
